text,label,notes
"Simeone is so much better on the right. I never want to see him playing on the left again.",hot_take,""
"World cup Lautaro back on the menu",hot_take,""
"This Argentine B team has zero synergy with each other",hot_take,""
"Almada took a good nap the entire half basically what hes been doing the entire season.",hot_take,""
"We left Buendia at home to take a donkey like Simeone who cant dribble the ball 5 meters without tripping over",hot_take,""
"Barco is operating at a higher level than the other players on the pitch. His play has been great",hot_take,""
"Honduras is still parking the bus 1-0 down smh these small teams.",hot_take,""
"Welcome to Argentina without Messi or Di Maria",hot_take,""
"Simeone is overrated. Lo Celso doesnt have the skill to be here. The midfield is weird. Boring game so far but i dont like our subs",hot_take,""
"MacAllister has to convince us that the Liverpool fans arent right when theyve been calling him washed all season",hot_take,""
"I dont understand the disjointed attack in defense everyone is tackling like its war",hot_take,""
"How did Jarrell Rashford play? Hes been in good form for the Barcelona Catalans",question,""
"I was told England were good. What happened?",question,""
"Is it too late to send Toney home and get DCL in?",question,""
"Do we really have to endure Lee Dixons miserable commentary throughout the whole World Cup?",question,""
"Can we call up Rio?",question,""
"How are people in the US watching this game?",question,""
"So is Messi for sure 100 percent not playing?",question,""
"Am I wrong for thinking currently Barco should start over MacAllister? He seemed sharper and his passes more positive",question,""
"How much worse is Garnacho than Almada? I liked him for us this season 14 goal contributions",question,""
"Is the lighting at US stadiums just not as good? This looks like a poorly lit 2014 World Cup.",question,""
"Barco subbed? Am I wrong for thinking he was the best player?",question,""
"Hows the first 30 mins been guys?",question,""
"Havent been able to watch since my ESPN app isnt working. How have we looked? What are the takeaways? Boring match without much to notate or some interesting beats?",question,""
"No Pedri no Party. Same thing happened when they almost fumbled the game in that 5-4 game against France. Score is 4-1 Pedri subbed out and they score 3 more.",analysis,""
"Definitely both. Spain was worse without Pedri but Cherki is involved in the 3 goals for France that lead to 5-4. Scores the volley assist the next goal and creates a chance with a pass between the lines that leads to the 4th goal.",analysis,""
"Honestly spain look like argentina in which they control the game and press but a team that has a good striker and made the shots that peru had the game would be tied. Keep the entire game the same and change the quality of the striker and it could be a tied game right now.",analysis,""
"I cant see Spain winning this world cup. Their defense is too leaky. Peru had 2-3 good chances to score and Peru is one of the weakest South American teams.",analysis,""
"Really think spains better in a 3 midfield not the 4231 setup. Rodri as a 6 pedri fabian more advance not 1 as a 10. Also pubill is most likely being saved as hes dealt with injury problems throughout the season",analysis,""
"I think Yamal is pretty much ready but it would be crazy to rush him back against Cape Verde. But I do reckon he gets some 20-30 minutes at the end of it to get some rhythm",analysis,""
"Baena on terrible form for an entire year no idea how he got called up to Spain same thing with Almada getting a call up for Argentina",analysis,""
"Baena has fallen off so bad since he left Villarreal but in his defense hes simply not a LW",analysis,""
"Peru went from having strikers at Bayern Munich to relying on a guy playing for a midtable Israeli side",analysis,""
"Jefferson Farfan Pizarro Solano Vargas - Peru have had some very good players in Europe. Shame Paolo Guerrero never went to Europe. Think Diego Costa but probably better",analysis,""
"Yoshi is still powering but no Pizarro no Carrillo either. Peru has fallen off a mountain",analysis,""
"Ferran has to miss like 3 easy ones before he scores the fourth one that is more difficult.",analysis,""
"Im assuming this should pretty much be Spains starting XI for the WC with Nico and Lamine on the wings instead",analysis,""
"Dela is loyal yeah hes been the worst out of the 3 but chemistry is there and Joan just last game had an absolute shocker",analysis,""
"Rayos jersey is inspired by River Plate actually",analysis,"historical fact"
"Peru started wearing the red sash in the 1930s",analysis,"historical fact"
"Solid result for the USA. Germany is clearly better so a narrow result even if a loss shows that maybe we got something in us",analysis,""
"Germany never really had to get out of second gear today. They looked comfortable throughout and always seemed to have another level if they needed it. The scoreline probably flattered the USA more than the overall performance did.",analysis,""
"The rare match where the winning fans might be walking away annoyed and the losing fans are pretty happy",analysis,""
"The score is less significant than the way they played. And they played well not good.",analysis,""
"2-1 after extra time against Algeria in 2014 or the 4-4 against Sweden in 2012 didnt make me hopeful then either. Yet we won the WC.",analysis,""
"We never do. Its a dice roll every time. Out in the group phase or semi-finals.",analysis,""
"I watched England Portugal and Spain matches. Only Spain look like a coherent team",hot_take,""
"Borja looking like a Sunday leaguer out there.",hot_take,""
"Peru is straight comedy lol",hot_take,""
"Gallese time to retire",hot_take,""
"I have seen enough Spain is getting grouped",hot_take,""
"Congratulations Spain on your second World Cup!",hot_take,"sarcastic"
"Torres x Pedri going to cook this WC. Adding Lamine to this squad will make them absolutely lethal.",hot_take,""
"Sorry but Im not convinced Peru can win this World Cup",hot_take,"ironic"
"Rodri really getting his form back game by game",hot_take,""
"Hopefully Peru can qualify in 2030 easily with a couple of the powerhouse South American countries already auto-qualifying.",hot_take,""
"Having to start Baena in a world cup is just gonna be tragic just play Olmo in the wing ffs",hot_take,""
"Spains midfield is cooking but they have dummies in attack lol.",hot_take,""
"Sometimes i wish pedri tried to take on more and not always look for the pass.",hot_take,""
"This world cup will not turn out how people expect lot of teams are much better than a decade ago any team can beat any team",hot_take,""
"I dont think the US is getting grouped they played well today",hot_take,""
"Yeah this is why we wont win the world cup this year. 2-1 against the US No offense but man....",hot_take,""
"Not the finest performance but a win is a win. Time for the group stage!",hot_take,""
"Portugal and Belgium looked 20x better against us. This German team doesnt look like its going far",hot_take,""
"Diving in a friendly at 90+5 is wild",hot_take,""
"Play crappy and win is all youll need starting next week!",hot_take,""
"Atmosphere was horrible I hope World Cup will be better",hot_take,""
"Not a great game but we won which is good enough I guess",hot_take,""
"Anyone else think the Peru shirts looks similar to Rayo Vallecanos?",question,""
"Is Unai Simon starting GK for the World Cup?",question,""
"Where yall watching this game?",question,""
"Is the camera quality same for everyone and not just an issue with my streaming service? looks like its from the 40s but has been re-colorized like old war footage",question,""
"What the hell is in the Basque air?",question,""
"Why are mexicans blasting music halfway on a match?",question,""
"Its 66 degrees in Puebla why is there a cooling break?",question,""
"Which spanish player will be killed by a challenge in this match?",question,""
"Why are Spain playing Rayo Vallecano?",question,""
"Getting a brain fart. Whys that? Is it because Spain was dominated by Madrid and Barcelona?",question,""
"Least Alonso is Basque right?",question,""
"How much was a ticket for this game? Anyone knows?",question,""
"Ferran in his Valencia role today Yamal probably gone from game 1 then.",hot_take,""
